Replicate,bull,Treatment,Time,Total,Motile
1,goldfink,CT,0,160,112
1,goldfink,CT,0.5,331,166
1,goldfink,CT,1,103,68
1,goldfink,CT,1.5,186,102
1,goldfink,CT,2,125,64
1,goldfink,B0.3,0,160,112
1,goldfink,B0.3,0.5,103,37
1,goldfink,B0.3,1,177,108
1,goldfink,B0.3,1.5,209,133
1,goldfink,B0.3,2,184,102
1,goldfink,B1.1,0,160,112
1,goldfink,B1.1,0.5,134,81
1,goldfink,B1.1,1,251,109
1,goldfink,B1.1,1.5,287,125
1,goldfink,B1.1,2,316,153
1,mastino,CT,0,259,197
1,mastino,CT,0.5,132,78
1,mastino,CT,1,147,69
1,mastino,CT,1.5,135,35
1,mastino,CT,2,156,75
1,mastino,B0.3,0,259,197
1,mastino,B0.3,1,135,27
1,mastino,B0.3,1.5,122,6
1,mastino,B1.1,0,259,197
1,mastino,B1.1,0.5,151,104
1,mastino,B1.1,1,152,102
1,mastino,B1.1,1.5,115,68
1,mastino,B1.1,2,149,20
1,sonora,CT,0,123,114
1,sonora,CT,0.5,146,130
1,sonora,CT,1,167,110
1,sonora,CT,1.5,136,79
1,sonora,CT,2,156,59
1,sonora,B0.3,0,123,114
1,sonora,B0.3,0.5,156,120
1,sonora,B0.3,1,149,76
1,sonora,B0.3,1.5,155,70
1,sonora,B0.3,2,146,76
1,sonora,B1.1,0,123,114
1,sonora,B1.1,0.5,141,93
1,sonora,B1.1,1,149,79
1,sonora,B1.1,1.5,147,50
1,sonora,B1.1,2,149,67
2,mastino,CT,0,124,105
2,mastino,CT,0.5,86,75
2,mastino,CT,1,99,63
2,mastino,CT,1.5,166,113
2,mastino,CT,2,175,82
2,mastino,B0.3,0,124,105
2,mastino,B0.3,0.5,129,107
2,mastino,B0.3,1,104,70
2,mastino,B0.3,1.5,165,86
2,mastino,B0.3,2,73,27
2,mastino,B1.1,0,124,105
2,mastino,B1.1,0.5,193,147
2,mastino,B1.1,1,79,34
2,mastino,B1.1,1.5,167,92
2,mastino,B1.1,2,161,53
3,mastino,CT,0,744,621
3,mastino,CT,0.5,176,113
3,mastino,CT,1,143,69
3,mastino,CT,1.5,72,43
3,mastino,CT,2,110,33
3,mastino,B0.3,0,744,621
3,mastino,B0.3,0.5,162,71
3,mastino,B0.3,1,87,43
3,mastino,B0.3,1.5,154,58
3,mastino,B0.3,2,167,62
3,mastino,B1.1,0,744,621
3,mastino,B1.1,0.5,143,103
3,mastino,B1.1,1,162,73
3,mastino,B1.1,1.5,121,54
3,mastino,B1.1,2,119,52
2,sonora,CT,0,353,188
2,sonora,CT,0.5,137,26
2,sonora,CT,1,140,21
2,sonora,CT,1.5,135,15
2,sonora,CT,2,121,23
2,sonora,B0.3,0,353,188
2,sonora,B0.3,0.5,124,31
2,sonora,B0.3,1,135,35
2,sonora,B0.3,1.5,125,15
2,sonora,B0.3,2,128,23
2,sonora,B1.1,0,353,188
2,sonora,B1.1,0.5,134,55
2,sonora,B1.1,1,138,44
2,sonora,B1.1,1.5,165,52
2,sonora,B1.1,2,163,35
3,sonora,CT,0,122,113
3,sonora,CT,0.5,76,43
3,sonora,CT,1,113,75
3,sonora,CT,1.5,84,50
3,sonora,CT,2,85,60
1,sonora,B0.05,0,122,113
1,sonora,B0.05,0.5,161,55
1,sonora,B0.05,1,90,74
1,sonora,B0.05,1.5,102,66
1,sonora,B0.05,2,176,60
1,sonora,B0.1,0,122,113
1,sonora,B0.1,0.5,91,62
1,sonora,B0.1,1,74,46
1,sonora,B0.1,1.5,130,64
1,sonora,B0.1,2,96,29
4,mastino,CT,0,166,151
4,mastino,CT,0.5,167,75
4,mastino,CT,1,177,71
4,mastino,CT,1.5,150,54
4,mastino,CT,2,157,11
1,mastino,B0.05,0,166,151
1,mastino,B0.05,0.5,80,69
1,mastino,B0.05,1,147,84
1,mastino,B0.05,1.5,165,71
1,mastino,B0.05,2,169,15
1,mastino,B0.1,0,166,151
1,mastino,B0.1,0.5,172,122
1,mastino,B0.1,1,176,100
1,mastino,B0.1,1.5,159,38
1,mastino,B0.1,2,171,36
