Replicate,Treatment,Nuclear_stage,Percentage
1,CT,MT,54.2
1,B0.3,MT,21.1
1,B1.1,MT,21.4
1,CT,DG,45.8
1,B0.3,DG,57.9
1,B1.1,DG,42.9
1,CT,BZP,0
1,B0.3,BZP,21.1
1,B1.1,BZP,35.7
2,CT,MT,69.22
2,B0.3,MT,49.96
2,B1.1,MT,31.57
2,CT,DG,23.07
2,B0.3,DG,35.71
2,B1.1,DG,47.36
2,CT,BZP,7.69
2,B0.3,BZP,14.28
2,B1.1,BZP,21.05
3,CT,MT,79
3,B0.3,MT,54.54
3,B1.1,MT,60
3,CT,DG,21
3,B0.3,DG,27.27
3,B1.1,DG,26.67
3,CT,BZP,0
3,B0.3,BZP,18.18
3,B1.1,BZP,13.33
4,CT,MT,70
4,B0.3,MT,42.55319149
4,B1.1,MT,51.02040816
4,CT,DG,20
4,B0.3,DG,25.53191489
4,B1.1,DG,14.28571429
4,CT,BZP,10
4,B0.3,BZP,31.91489362
4,B1.1,BZP,34.69387755
