Sample,Length,Width,Area
WtCTRL1,7.378,3.594,13.384
WtCTRL1,6.618,5.515,27.377
WtCTRL1,5.426,3.453,10.951
WtCTRL1,14.714,3.21,18.251
WtCTRL1,6.618,4.412,21.293
WtCTRL1,14.565,5.221,34.069
WtCTRL1,10.92,4.68,12.776
WtCTRL1,15.567,9.306,39.544
WtCTRL1,4.68,3.12,10.951
WtCTRL1,12.29,6.555,41.369
WtCTRL1,8.636,6.515,18.251
WtCTRL1,14.04,7.02,29.81
WtCTRL1,12.134,7.721,33.46
WtCTRL1,11.014,5.201,34.069
WtCTRL1,6.618,4.412,15.209
WtCTRL1,14.892,8.035,53.537
WtCTRL1,13.196,7.571,49.887
WtCTRL1,4.412,3.309,10.342
WtCTRL1,13.237,8.824,88.214
WtCTRL1,10.359,6.413,40.153
WtCTRL1,6.618,4.412,22.51
WtCTRL1,5.46,4.68,13.384
WtCTRL1,6.618,5.515,25.552
WtCTRL1,12.826,9.373,82.13
WtCTRL1,8.824,4.412,26.16
WtCTRL1,7.721,5.515,35.894
WtCTRL1,6.618,5.515,10.342
WtCTRL1,5.426,5.426,18.86
WtCTRL1,14.34,5.515,45.628
FF3,18.634,13.199,176.348
FF3,18.891,14.168,181.227
FF3,26.598,17.029,204.229
FF3,14.393,8.385,40.428
FF3,7.514,4.174,25.093
FF3,6.679,5.009,22.305
FF3,32.802,15.693,232.808
FF3,10.862,6.376,18.123
FF3,13.696,9.209,84.34
FF3,16.056,3.244,12.547
FF3,17.711,3.542,20.214
FF3,22.265,4.865,25.79
FF3,14.193,4.341,36.943
FF3,7.467,4.48,16.729
FF3,7.958,5.047,23.699
FF3,14.561,8.214,27.881
FF3,23.525,14.67,175.651
FF3,42.701,13.128,235.596
FF3,20.139,5.208,35.548
FF3,4.224,3.696,7.667
FF3,26.716,9.184,89.22
FF3,20.369,12.699,125.465
FF3,12.988,4.723,28.578
FF3,15.646,6.91,50.186
FF3,9.446,5.904,24.396
FF3,3.542,3.542,7.667
FF3,5.904,3.542,17.426
FF3,44.959,20.332,393.124
FF3,7.016,1.973,5.576
FF3,11.646,8.152,68.309
FF3,5.844,2.505,8.364
FF3,16.648,7.172,32.76
FF3,9.446,4.723,20.911
FF3,17.081,7.182,43.216
FF3,13.426,4.912,48.095
FF3,5.904,3.542,11.152
FF3,8.336,4.168,18.82
FF3,16.53,4.487,21.608
FF3,12.145,8.976,23.699
FF3,12.678,3.586,14.638
FF3,19.073,10.172,89.22
FF3,8.588,4.107,20.911
FF3,3.542,3.542,5.576
FF3,6.679,5.009,22.305
FF3,9.504,1.584,6.97
FF3,15.841,7.92,51.58
FF3,12.294,7.3,33.457
FF3,6.864,2.112,7.667
FF3,7.084,4.723,21.608
FF3,7.467,5.601,24.396
FF3,5.227,3.36,9.061
FF3,16.53,11.807,105.251
FF3,9.45,3.723,13.244
FF3,5.155,5.155,6.273
FF3,9.524,6.047,25.093
FF3,19.844,10.327,147.073
FF3,10.626,3.542,7.667
FF3,14.568,10.221,82.946
FF3,11.948,3.734,18.82
FF3,14.193,7.514,41.125
FF3,9.708,5.227,21.608
FF3,5.844,3.34,11.152
FF3,24.641,14.361,255.112
FF3,11.089,8.448,52.974
FF3,34.22,11.028,156.134
FF3,6.864,2.112,6.273
FF3,10.626,5.904,34.851
FF3,14.168,4.723,20.911
FF3,13.364,6.48,55.762
FF3,19.158,5.178,28.578
FF3,7.92,5.28,16.032
FF3,5.904,3.542,9.758
FF3,12.988,9.446,50.883
FF3,7.084,4.723,17.426
FF3,17.915,7.767,69.006
FF3,11.014,5.379,18.82
FF3,40.019,19.03,441.219
FF3,51.516,11.339,235.596
FF3,6.679,5.844,16.032
FF3,10.081,5.601,36.943
FF3,10.019,9.184,48.792
FF3,17.953,5.808,49.489
FF3,13.358,1.67,9.758
FF3,15.394,9.637,76.673
FF3,21.381,8.64,32.063
FF3,6.885,2.835,8.364
FF3,9.446,5.904,32.76
FF3,13.391,10.638,88.523
FF3,5.601,3.36,9.061
FF3,7.084,4.723,19.517
FF3,7.514,3.34,16.032
FF3,4.723,4.723,11.849
FF3,12.757,2.835,6.273
FF3,10.157,4.392,11.849
FF3,17.21,7.269,32.76
FF3,14.266,9.772,19.517
FF3,6.679,3.34,6.97
FF3,5.601,2.987,10.455
FF3,16.369,9.504,100.372
FF3,14.257,5.808,46.701
FF3,16.411,12.723,126.162
FF3,9.446,5.904,20.911
FF3,7.084,5.904,12.547
FF3,11.716,6.151,26.487
FF3,17.623,13.158,108.736
FF3,5.904,5.904,13.941
FF3,15.985,12.897,50.186
FF3,16.776,2.485,21.608
FF3,12.988,9.446,49.489
FF3,16.698,10.853,96.19
FF3,16.396,16.113,149.164
FF3,8.737,7.793,16.032
FF3,5.009,4.174,16.032
FF3,12.757,3.24,13.244
FF3,5.894,3.275,11.849
FF3,10.454,4.107,25.093
FF3,16.53,11.807,92.705
FF3,15.464,4.582,25.79
FF3,7.084,3.542,11.152
FF3,15.028,9.184,73.885
FF3,19.77,6.444,55.065
FF3,5.904,4.723,13.244
FF3,15.349,7.084,55.762
FF3,9.184,3.34,11.152
FF3,12.988,5.904,18.123
FF3,9.184,4.174,24.396
FF3,6.252,2.779,6.273
FF3,13.662,3.936,23.002
FF3,8.265,3.542,9.758
FF3,14.168,12.988,107.342
FF3,5.894,3.93,11.152
FF3,7.556,4.487,11.849
FF3,15.682,4.107,24.396
FF3,17.182,9.45,102.463
FF3,17.683,14.081,146.376
FF3,8.349,2.505,8.364
FF3,9.647,2.412,9.758
FF3,17.425,10.032,60.641
FF3,11.688,7.514,52.974
FF3,8.448,6.864,30.669
FF3,13.303,7.798,28.578
FF3,15.635,10.188,77.37
FF3,8.514,8.514,34.154
FF3,17.533,6.679,80.158
FF3,4.752,4.224,12.547
FF3,9.373,3.175,9.061
FF3,11.807,11.807,75.279
FF3,14.272,12.812,104.554
FF3,11.115,5.557,36.943
FF3,12.988,11.807,89.22
FF3,4.174,3.34,10.455
FF3,5.904,4.723,14.638
FF3,8.516,2.839,12.547
FF3,12.99,10.779,39.034
FF3,9.866,6.358,31.366
FF3,9.184,5.009,21.608
FF3,5.567,3.602,11.849
FF3,5.808,2.112,5.576
FF3,14.573,10.387,55.762
FF3,11.986,8.851,69.006
FF3,19.186,14.318,188.895
