Sample,PP,Length,Width
hFF1,Acrylonitrile Butadiene Styrene 3. Light Blue LEGO,5.497,5.039
hFF1,"ALPEX CK-450, CYCLIZED RUBBER",35.159,18.712
hFF1,"ALPEX CK-450, CYCLIZED RUBBER",19.461,12.291
hFF1,"ALPEX CK-450, CYCLIZED RUBBER",25.607,14.34
hFF1,"ALPEX CK-450, CYCLIZED RUBBER",15.364,9.218
hFF1,"ALPEX CK-450, CYCLIZED RUBBER",16.021,10.257
hFF1,"ALPEX CK-450, CYCLIZED RUBBER",17.849,10.272
hFF1,"ALPEX CK-450, CYCLIZED RUBBER",9.218,8.194
hFF1,"ALPEX CK-450, CYCLIZED RUBBER",10.864,9.416
hFF1,"ALPEX CK-450, CYCLIZED RUBBER",10.188,7.026
hFF1,"ALPEX CK-450, CYCLIZED RUBBER",19.139,9.187
hFF1,"ALPEX CK-450, CYCLIZED RUBBER",10.11,7.666
hFF1,"ALPEX CK-450, CYCLIZED RUBBER",8.194,5.121
hFF1,"ALPEX CK-450, CYCLIZED RUBBER",10.078,5.955
hFF1,"ALPEX CK-450, CYCLIZED RUBBER",7.329,4.581
hFF1,"ALPEX CK-450, CYCLIZED RUBBER",7.17,3.073
hFF1,"ALPEX CK-450, CYCLIZED RUBBER",6.146,4.097
hFF1,Epichlorohydrin/Ethylene Oxide Copolymer,4.097,3.073
hFF1,"POLY(ETHYLENE:PROPYLENE:DIENE) (50% ETHYLENE, 4% DIENE) rubber",5.497,3.665
hFF1,POLY(TRIMETHYLPENTYLEN SEBACATE),23.69,19.087
hFF1,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],13.604,8.422
hFF1,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],10.227,2.557
hFF1,POLYALKYLBENZENE,18.018,8.925
hFF1,POLYETHYLENEIMINE,4.346,2.173
hFF1,Polypropylene 10. Black Battery Holder,8.194,5.121
hFF1,Polypropylene 10. Black Battery Holder,7.774,7.126
hFF1,Polypropylene 10. Black Battery Holder,10.221,5.333
hFF1,Polypropylene 5. White Food Wrapper,48.188,38.464
hFF1,Polypropylene 5. White Food Wrapper,20.489,12.856
hFF1,Polypropylene 5. White Food Wrapper,11.91,7.329
hFF1,Polypropylene 5. White Food Wrapper,8.559,6.847
hFF1,Polypropylene 8. White Bottle Cap,13.504,4.184
hFF1,Polypropylene 8. White Bottle Cap,5.962,3.975
hFF1,Polypropylene Isotactic Chlorinated 32% Chlorine,3.621,2.897
hFF1,POLYPROPYLENE WITH 20% TALC,20.948,12.226
hFF1,POLYSORBATE 80 STANDARD,9.218,6.146
hFF1,Polystyrene 11. Orange Printer Cartridge,4.346,2.173
hFF1,POLYSTYRENE HIGH IMPACT,10.243,8.194
hFF1,POLYSTYRENE HIGH IMPACT,7.967,5.794
hFF1,POLYSTYRENE HIGH IMPACT,9.619,4.123
hFF1,POLYSTYRENE HIGH IMPACT,10.536,4.123
hFF1,"Polystyrene, 98% syndiotactic",8.559,6.847
hFF1,Polyvinyl Chloride 21. Green Slinky Toy,25.513,18.416
hFF1,Polyvinyl Chloride 21. Green Slinky Toy,10.002,5.715
hFF1,Polyvinyl Chloride 21. Green Slinky Toy,6.518,6.518
hFF1,Polyvinyl Chloride 21. Green Slinky Toy,4.097,3.073
hFF1,Polyvinyl Chloride 26. White Railcard,39.218,8.801
hFF1,Polyvinyl Chloride 8a. White Cable Cover,15.364,13.316
hFF1,Polyvinyl Chloride 8a. White Cable Cover,7.204,3.975
hFF2,Polyethylene 6. White Microsphere,27.058,10.375
hFF2,POLYOXYETHYLENE(20) SORBITAN MONOPALMITATE,15.197,10.131
hFF2,Polyvinyl Chloride 21. Green Slinky Toy,10.053,6.786
hFF2,Polyvinyl Chloride 21. Green Slinky Toy,5.066,3.039
hFF2,Polyvinyl Chloride 26. White Railcard,12.771,5.986
hFF2,"ALPEX CK-450, CYCLIZED RUBBER",13.207,6.744
hFF2,"ALPEX CK-450, CYCLIZED RUBBER",9.118,9.118
hFF2,"ALPEX CK-450, CYCLIZED RUBBER",5.066,4.053
hFF2,"ALPEX CK-450, CYCLIZED RUBBER",7.617,4.914
hFF2,"ALPEX CK-450, CYCLIZED RUBBER",6.603,5.039
hFF3,Polyurethane 7. Yellow Foam Packaging,14.341,9.159
hFF3,Polyvinyl Chloride 21. Green Slinky Toy,10.177,5.687
hFF4,"1,4-BUTANEDIAMINE",31.118,16.088
hFF4,"1,4-BUTANEDIAMINE",10.685,5.343
hFF4,"1,4-BUTANEDIAMINE",9.172,2.896
hFF4,Acrylonitrile Butadiene Styrene 1. Orange LEGO,27.736,16.306
hFF4,Acrylonitrile Butadiene Styrene 1. Orange LEGO,12.189,6.945
hFF4,Acrylonitrile Butadiene Styrene 14. White Refrigerator Lining,12.066,7.197
hFF4,Acrylonitrile Butadiene Styrene 2. Red LEGO,19.581,10.107
hFF4,Acrylonitrile Butadiene Styrene 2. Red LEGO,5.31,4.344
hFF4,Acrylonitrile Butadiene Styrene 3. Light Blue LEGO,22.559,11.558
hFF4,Acrylonitrile Butadiene Styrene 3. Light Blue LEGO,10.362,5.181
hFF4,Acrylonitrile Butadiene Styrene 3. Light Blue LEGO,9.879,5.987
hFF4,Acrylonitrile Butadiene Styrene 3. Light Blue LEGO,12.047,2.268
hFF4,Acrylonitrile Butadiene Styrene 3. Light Blue LEGO,9.172,2.896
hFF4,Acrylonitrile Butadiene Styrene 3. Light Blue LEGO,8.256,6.562
hFF4,Acrylonitrile Butadiene Styrene 3. Light Blue LEGO,6.106,2.29
hFF4,Acrylonitrile Butadiene Styrene 3. Light Blue LEGO,3.816,1.526
hFF4,"ALPEX CK-450, CYCLIZED RUBBER",11.648,6.962
hFF4,"ALPEX CK-450, CYCLIZED RUBBER",8.635,7.556
hFF4,"ALPEX CK-450, CYCLIZED RUBBER",12.212,6.869
hFF4,"ALPEX CK-450, CYCLIZED RUBBER",20.139,9.899
hFF4,"ALPEX CK-450, CYCLIZED RUBBER",11.675,6.885
hFF4,"ALPEX CK-450, CYCLIZED RUBBER",8.635,5.397
hFF4,"ALPEX CK-450, CYCLIZED RUBBER",7.938,6.106
hFF4,"ALPEX CK-450, CYCLIZED RUBBER",5.397,4.318
hFF4,"ALPEX CK-450, CYCLIZED RUBBER",5.397,5.397
hFF4,"ALPEX CK-450, CYCLIZED RUBBER",5.397,4.318
hFF4,"ALPEX CK-450, CYCLIZED RUBBER",11.449,3.816
hFF4,"ALPEX CK-450, CYCLIZED RUBBER",9.159,3.053
hFF4,"ALPEX CK-450, CYCLIZED RUBBER",4.318,4.318
hFF4,"ALPEX CK-450, CYCLIZED RUBBER",5.715,5.715
hFF4,"ALPEX CK-450, CYCLIZED RUBBER",7.723,3.862
hFF4,"ALPEX CK-450, CYCLIZED RUBBER",3.238,3.238
hFF4,"ALPEX CK-450, CYCLIZED RUBBER",2.896,2.896
hFF4,COLOR MASTERBATCH POLY[ETHYLENE-CO-(VINYL ACETATE)] + 45% YELLOW PIGMENT #3,7.168,6.827
hFF4,COLOR MASTERBATCH POLYPROPYLENE + 70% WHITE PIGMENT,6.476,6.476
hFF4,COLOR MASTERBATCH POLYPROPYLENE + 70% WHITE PIGMENT,5.793,3.379
hFF4,COLOR MASTERBATCH POLYPROPYLENE + 70% WHITE PIGMENT,9.496,3.968
hFF4,COLOR MASTERBATCH POLYPROPYLENE + 70% WHITE PIGMENT,7.219,2.777
hFF4,COLOR MASTERBATCH POLYPROPYLENE + WHITE PIGMENT,11.585,4.344
hFF4,"DUTRAL PMX 9705, COPOLYMER EPDM TYPE",21.792,11.336
hFF4,"DUTRAL PMX 9705, COPOLYMER EPDM TYPE",11.885,5.39
hFF4,"DUTRAL PMX 9705, COPOLYMER EPDM TYPE",5.31,3.379
hFF4,"DUTRAL PMX 9705, COPOLYMER EPDM TYPE",8.635,4.318
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",34.612,16.643
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",20.508,18.35
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",33.461,15.111
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",24.234,16.043
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",24.791,8.056
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",18.565,10.146
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",16.724,8.504
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",14.481,5.31
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",11.102,5.793
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",6.758,5.793
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",9.714,3.238
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",5.397,4.318
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",4.318,4.318
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",7.632,3.053
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",5.343,3.053
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",4.579,3.816
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",3.816,2.29
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",4.45,2.88
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",4.318,3.238
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",5.089,2.096
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",3.816,2.29
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",9.238,3.213
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",7.632,2.748
hFF4,"KELTAN 314, COPOLYMER EPDM TYPE",4.712,4.45
hFF4,"KELTAN 512, COPOLYMER EPDM TYPE",21.38,14.606
hFF4,"KELTAN 512, COPOLYMER EPDM TYPE",10.794,8.635
hFF4,"KELTAN 512, COPOLYMER EPDM TYPE",15.111,5.397
hFF4,"KELTAN 512, COPOLYMER EPDM TYPE",9.913,4.392
hFF4,"KELTAN 512, COPOLYMER EPDM TYPE",7.854,5.236
hFF4,"KELTAN 512, COPOLYMER EPDM TYPE",9.489,4.893
hFF4,"KELTAN 512, COPOLYMER EPDM TYPE",8.362,4.535
hFF4,"KELTAN 512, COPOLYMER EPDM TYPE",6.476,6.476
hFF4,"KELTAN 512, COPOLYMER EPDM TYPE",3.816,3.816
hFF4,"KELTAN 512, COPOLYMER EPDM TYPE",8.787,4.535
hFF4,"KELTAN 512, COPOLYMER EPDM TYPE",6.144,3.755
hFF4,"KELTAN 512, COPOLYMER EPDM TYPE",8.206,3.379
hFF4,"KELTAN 512, COPOLYMER EPDM TYPE",4.318,3.238
hFF4,"KELTAN 512, COPOLYMER EPDM TYPE",6.214,2.806
hFF4,"KELTAN 512, COPOLYMER EPDM TYPE",6.106,3.816
hFF4,"KELTAN 512, COPOLYMER EPDM TYPE",5.397,3.238
hFF4,"KELTAN 512, COPOLYMER EPDM TYPE",3.053,2.29
hFF4,"LEVAFLEX EP-390, POLYPROPYLENE BASED",47.734,18.632
hFF4,"LEVAFLEX EP-390, POLYPROPYLENE BASED",10.995,4.974
hFF4,"LEVAFLEX EP-390, POLYPROPYLENE BASED",14.677,6.144
hFF4,NEOCRYL XK-205,15.265,6.869
