Sample,PP,Length,Width
bFF1,"1,4-BUTANEDIAMINE",12.497,3.999
bFF1,Cellulose Acetate 4. White Fiber,15.649,5.589
bFF1,Cellulose Acetate 4. White Fiber,8.694,4.742
bFF1,Polyethylene 6. White Microsphere,10.06,8.942
bFF1,Polyethylene 6. White Microsphere,9.548,4.774
bFF1,POLYSORBATE 80 STANDARD,6.707,5.589
bFF1,Polyvinyl Chloride 21. Green Slinky Toy,12.69,3.663
bFF1,Polyvinyl Chloride 21. Green Slinky Toy,10.997,5.499
bFF1,Polyvinyl Chloride 21. Green Slinky Toy,8.942,4.471
bFF1,Polyvinyl Chloride 21. Green Slinky Toy,8.694,4.742
bFF1,Polyvinyl Chloride 21. Green Slinky Toy,5.499,3.999
bFF1,Polyvinyl Chloride 21. Green Slinky Toy,4.242,4.242
bFF2,CELLULOSE PROPIONATE,10.064,6.29
bFF2,Polyethylene 6. White Microsphere,12.939,6.188
bFF2,Polyethylene 6. White Microsphere,6.29,3.774
bFF2,POLYSORBATE 80 STANDARD,17.79,13.343
bFF2,POLYSORBATE 80 STANDARD,6.29,3.774
bFF2,POLYSORBATE 80 STANDARD,6.28,3.489
bFF2,Polystyrene 1. Brown Coffee Cup Lid,17.794,9.42
bFF2,POLYSTYRENE HIGH IMPACT,5.187,3.051
bFF2,Polyvinyl Chloride 21. Green Slinky Toy,14.429,6.773
bFF2,Polyvinyl Chloride 21. Green Slinky Toy,9.945,5.171
bFF2,Polyvinyl Chloride 21. Green Slinky Toy,8.806,5.032
bFF2,Polyvinyl Chloride 21. Green Slinky Toy,7.548,5.032
bFF2,Polyvinyl Chloride 21. Green Slinky Toy,6.763,6.763
bFF2,Polyvinyl Chloride 21. Green Slinky Toy,6.29,5.032
bFF2,Polyvinyl Chloride 21. Green Slinky Toy,6.29,5.032
bFF2,Polyvinyl Chloride 21. Green Slinky Toy,6.28,2.442
bFF2,Polyvinyl Chloride 21. Green Slinky Toy,6.227,2.669
bFF2,Polyvinyl Chloride 21. Green Slinky Toy,6.227,3.558
bFF2,Polyvinyl Chloride 21. Green Slinky Toy,5.337,2.669
bFF2,Polyvinyl Chloride 21. Green Slinky Toy,5.032,3.774
bFF2,Polyvinyl Chloride 21. Green Slinky Toy,3.938,3.375
bFF2,Polyvinyl Chloride 21. Green Slinky Toy,3.938,3.375
bFF2,Polyvinyl Chloride 26. White Railcard,10.318,4.625
bFF2,Polyvinyl Chloride 26. White Railcard,6.29,6.29
bFF2,Polyvinyl Chloride 26. White Railcard,3.375,3.375
bFF2,SILICON(IV) OXIDE,12.689,11.188
bFF2,SILICON(IV) OXIDE,12.58,5.032
bFF2,SILICON(IV) OXIDE,7.296,5.032
bFF2,SILICON(IV) OXIDE,6.407,3.356
bFF3,Acrylonitrile Butadiene Styrene 3. Light Blue LEGO,18.891,14.168
bFF3,Acrylonitrile Butadiene Styrene 3. Light Blue LEGO,18.634,13.199
bFF3,"ALPEX CK-450, CYCLIZED RUBBER",14.393,8.385
bFF3,"ALPEX CK-450, CYCLIZED RUBBER",13.696,9.209
bFF3,"ALPEX CK-450, CYCLIZED RUBBER",10.862,6.376
bFF3,"ALPEX CK-450, CYCLIZED RUBBER",7.514,4.174
bFF3,"ALPEX CK-450, CYCLIZED RUBBER",6.679,5.009
bFF3,Cellulose Acetate 4. White Fiber,17.711,3.542
bFF3,Cellulose Acetate 4. White Fiber,16.056,3.244
bFF3,Cellulose Acetate 4. White Fiber,14.561,8.214
bFF3,Cellulose Acetate 4. White Fiber,14.193,4.341
bFF3,Cellulose Acetate 4. White Fiber,7.958,5.047
bFF3,Cellulose Acetate 4. White Fiber,7.467,4.48
bFF3,Cellulose Acetate 4. White Fiber,4.224,3.696
bFF3,CELLULOSE PROPIONATE,15.646,6.91
bFF3,CELLULOSE PROPIONATE,12.988,4.723
bFF3,CELLULOSE PROPIONATE,9.446,5.904
bFF3,CELLULOSE PROPIONATE,7.016,1.973
bFF3,CELLULOSE PROPIONATE,5.904,3.542
bFF3,CELLULOSE PROPIONATE,3.542,3.542
bFF3,COLOR MASTERBATCH POLYPROPYLENE + WHITE PIGMENT,11.646,8.152
bFF3,"Highly softened foam, Sympatex White",9.866,5.481
bFF3,"NYLON 6,6",8.349,5.844
bFF3,"NYLON 6,6",7.016,3.508
bFF3,OLEFIN FILM,8.265,5.904
bFF3,OLEFIN FILM,4.723,4.723
bFF3,POLY(NEOPENTYLENE TEREPHTHALATE),9.446,7.084
bFF3,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],15.349,7.084
bFF3,POLYALKYLBENZENE,13.696,6.376
bFF3,POLYALKYLBENZENE,5.601,2.987
bFF3,Polyamide 2. White Pellet,16.327,13.152
bFF3,Polyester 2. Yellow Fiber,15.746,6.252
bFF3,Polyester 2. Yellow Fiber,11.578,5.789
bFF3,Polyethylene 12. Black Pen Lid,9.334,5.974
bFF3,Polyethylene 6. White Microsphere,16.895,10.882
bFF3,Polyethylene 6. White Microsphere,16.369,14.257
bFF3,Polyethylene 6. White Microsphere,15.313,8.448
bFF3,Polyethylene 6. White Microsphere,13.447,3.842
bFF3,Polyethylene 6. White Microsphere,13.43,7.41
bFF3,Polyethylene 6. White Microsphere,12.812,4.379
bFF3,Polyethylene 6. White Microsphere,9.736,5.727
bFF3,Polyethylene 6. White Microsphere,9.504,5.808
bFF3,Polyethylene 6. White Microsphere,9.446,4.723
bFF3,Polyethylene 6. White Microsphere,8.989,4.166
bFF3,Polyethylene 6. White Microsphere,8.448,3.696
bFF3,Polyethylene 6. White Microsphere,8.265,4.723
bFF3,Polyethylene 6. White Microsphere,7.92,7.92
bFF3,Polyethylene 6. White Microsphere,7.514,3.34
bFF3,Polyethylene 6. White Microsphere,7.084,4.723
bFF3,Polyethylene 6. White Microsphere,5.904,4.723
