p.adj,p.val,log2FC,significant,Protein Ids,Majority Protein Ids,gene names,Peptides
8.22E-12,9.55E-15,-0.639853865,less abundant,F1MNN6;Q3SYU9;A0A3Q1MFD0;A1L549,F1MNN6;Q3SYU9;A0A3Q1MFD0,MVP,156
4.63E-04,2.15E-06,-0.611237573,less abundant,F1N404,F1N404,PADI6,83
0.047179251,7.12E-04,0.970540622,more abundant,O97680,O97680,TXN,11
0.023001853,2.14E-04,0.948550968,more abundant,P00435,P00435,GPX1,14
2.32E-05,8.10E-08,2.383591442,more abundant,P07107;A0A3Q1M8I0,P07107;A0A3Q1M8I0,DBI,8
0.015357006,9.63E-05,0.963813924,more abundant,P08166;A0A3Q1M447,P08166,AK2,18
2.34E-07,5.44E-10,0.847963102,more abundant,Q32LG3;A0A3Q1LTB0;Q0QF29;Q58DR9,Q32LG3;A0A3Q1LTB0;Q0QF29,MDH2,42
0.036029221,4.18E-04,1.403511878,more abundant,Q3SZF8,Q3SZF8,SNRPD2,7
0.61219957,0.099559004,0.996682192,n.s.,A0A140T832;A5PK63,A0A140T832;A5PK63,RPS17,4
1,1,0.144851466,n.s.,A0A140T842;Q59HJ6;A0A3Q1LU64,A0A140T842;Q59HJ6;A0A3Q1LU64,LONP1,12
0.993498979,0.441939732,0.144642304,n.s.,A0A140T854;A0A3Q1MEC8;O18879;E1BGC0;E1BKD8,A0A140T854;A0A3Q1MEC8,GSTA1,25
1,0.614633854,0.385094032,n.s.,A0A140T856;Q27954;A0A3Q1MCV5,A0A140T856;Q27954;A0A3Q1MCV5,COPA,21
1,0.526254737,-0.44970641,n.s.,A0A140T861;Q28009;E1BGX1,A0A140T861;Q28009,FUS,6
1,1,-0.032763861,n.s.,A0A140T892;P51176;A0A3Q1MI90,A0A140T892;P51176;A0A3Q1MI90,TGM2,16
0.993498979,0.434777086,-0.300583704,n.s.,A0A140T8A5;Q9XSG3;Q0QEQ4,A0A140T8A5;Q9XSG3;Q0QEQ4,IDH1,17
0.296825901,0.009419906,-1.931014648,n.s.,A0A3Q1LFQ2,A0A3Q1LFQ2,-,14
1,0.968093823,-0.041460837,n.s.,A0A3Q1LG34;A6QLZ8;A0A3Q1MMX8;A6QP50,A0A3Q1LG34;A6QLZ8;A0A3Q1MMX8,CORO6,11
1,0.740063633,0.041393597,n.s.,A0A3Q1LHT7;F1MDC1,A0A3Q1LHT7;F1MDC1,RRBP1,55
1,1,-0.267191848,n.s.,A0A3Q1LJ64;A0A3Q1NES2;Q0VCX4,A0A3Q1LJ64;A0A3Q1NES2;Q0VCX4,CTNNB1,10
1,1,-0.127463198,n.s.,A0A3Q1LJE7;E1BA27,A0A3Q1LJE7;E1BA27,GLMN,3
0.61219957,0.100966712,-0.555809784,n.s.,A0A3Q1LJU0;P62871;A7E3V7,A0A3Q1LJU0;P62871;A7E3V7,GNB1,10
1,0.722312777,0.251023381,n.s.,A0A3Q1LJX0;A0A3Q1N1V2;F1MJ59;Q2T9R6,A0A3Q1LJX0;A0A3Q1N1V2;F1MJ59;Q2T9R6,NIT2,2
1,0.471873318,0.026140536,n.s.,A0A3Q1LK04;P23356;A0A3Q1LL01;A0A3Q1LTS2;A0A3Q1M8I6;J7JXJ4,A0A3Q1LK04;P23356;A0A3Q1LL01;A0A3Q1LTS2;A0A3Q1M8I6;J7JXJ4,UCHL1,27
1,0.469835302,-0.579667697,n.s.,A0A3Q1LKV8;Q0II43;F1MLV3;A0A3Q1ME81,A0A3Q1LKV8;Q0II43;F1MLV3;A0A3Q1ME81,TXNL1,6
1,0.870051299,-0.265930735,n.s.,A0A3Q1LMC1;A3KMY8;A0A3Q1MDD4;A0A3Q1NB19;A0A3Q1NKM6,A0A3Q1LMC1;A3KMY8;A0A3Q1MDD4,GUSB,11
0.936288028,0.343488525,0.249889358,n.s.,A0A3Q1LMV5;P28801;A0A452DHY4,A0A3Q1LMV5;P28801,GSTP1,8
0.909629851,0.300736993,0.613058626,n.s.,A0A3Q1LMX0;P07514;F1N7T1;A0A3Q1N6T1;A0A3Q1LZ18,A0A3Q1LMX0;P07514;F1N7T1;A0A3Q1N6T1;A0A3Q1LZ18,CYB5R3,6
1,1,0.247391115,n.s.,A0A3Q1LNW7;F1N5J8;Q0IIJ8,A0A3Q1LNW7;F1N5J8;Q0IIJ8,DECR1,5
0.732526433,0.157255363,0.36726135,n.s.,A0A3Q1LQ76;P48818,A0A3Q1LQ76;P48818,ACADVL,13
1,0.921209625,-0.050931529,n.s.,A0A3Q1LQI0;P53620;A0A140T886;Q0V888,A0A3Q1LQI0;P53620;A0A140T886,COPG1,11
1,1,0.127004997,n.s.,A0A3Q1LQT4;F1MIC9;A5PKJ3;A0A3Q1LJA4;A0A3Q1M3Y3,A0A3Q1LQT4;F1MIC9;A5PKJ3;A0A3Q1LJA4;A0A3Q1M3Y3,DCTN1,7
1,1,-0.001968054,n.s.,A0A3Q1LSB6;A0A3Q1MQZ2;Q32PF2,A0A3Q1LSB6;A0A3Q1MQZ2;Q32PF2,ACLY,13
