Protein.IDs	Majority.protein.IDs	Peptide.counts..all.	Peptide.counts..razor.unique.	Peptide.counts..unique.	Fasta.headers	Number.of.proteins	Peptides	Razor...unique.peptides	Unique.peptides	Peptides.621_1O2	Peptides.621_1O3	Peptides.621_1O4	Peptides.621_C3	Peptides.815_03_O1	Peptides.815_03_O2	Peptides.815_03_O5	Peptides.815_1_O6	Peptides.815_C_O4	Peptides.815_C_O5	Peptides.819_OOMP2_black_3_O4	Peptides.819_OOMP2_black_3_O5	Peptides.819_OOMP2_black_C_O4	Peptides.819_OOMP2_black_C_O5	Peptides.819_OOMP2_blue_1_only5	Razor...unique.peptides.621_1O2	Razor...unique.peptides.621_1O3	Razor...unique.peptides.621_1O4	Razor...unique.peptides.621_C3	Razor...unique.peptides.815_03_O1	Razor...unique.peptides.815_03_O2	Razor...unique.peptides.815_03_O5	Razor...unique.peptides.815_1_O6	Razor...unique.peptides.815_C_O4	Razor...unique.peptides.815_C_O5	Razor...unique.peptides.819_OOMP2_black_3_O4	Razor...unique.peptides.819_OOMP2_black_3_O5	Razor...unique.peptides.819_OOMP2_black_C_O4	Razor...unique.peptides.819_OOMP2_black_C_O5	Razor...unique.peptides.819_OOMP2_blue_1_only5	Unique.peptides.621_1O2	Unique.peptides.621_1O3	Unique.peptides.621_1O4	Unique.peptides.621_C3	Unique.peptides.815_03_O1	Unique.peptides.815_03_O2	Unique.peptides.815_03_O5	Unique.peptides.815_1_O6	Unique.peptides.815_C_O4	Unique.peptides.815_C_O5	Unique.peptides.819_OOMP2_black_3_O4	Unique.peptides.819_OOMP2_black_3_O5	Unique.peptides.819_OOMP2_black_C_O4	Unique.peptides.819_OOMP2_black_C_O5	Unique.peptides.819_OOMP2_blue_1_only5	Sequence.coverage....	Unique...razor.sequence.coverage....	Unique.sequence.coverage....	Mol..weight..kDa.	Sequence.length	Sequence.lengths	Q.value	Score	Identification.type.621_1O2	Identification.type.621_1O3	Identification.type.621_1O4	Identification.type.621_C3	Identification.type.815_03_O1	Identification.type.815_03_O2	Identification.type.815_03_O5	Identification.type.815_1_O6	Identification.type.815_C_O4	Identification.type.815_C_O5	Identification.type.819_OOMP2_black_3_O4	Identification.type.819_OOMP2_black_3_O5	Identification.type.819_OOMP2_black_C_O4	Identification.type.819_OOMP2_black_C_O5	Identification.type.819_OOMP2_blue_1_only5	Sequence.coverage.621_1O2....	Sequence.coverage.621_1O3....	Sequence.coverage.621_1O4....	Sequence.coverage.621_C3....	Sequence.coverage.815_03_O1....	Sequence.coverage.815_03_O2....	Sequence.coverage.815_03_O5....	Sequence.coverage.815_1_O6....	Sequence.coverage.815_C_O4....	Sequence.coverage.815_C_O5....	Sequence.coverage.819_OOMP2_black_3_O4....	Sequence.coverage.819_OOMP2_black_3_O5....	Sequence.coverage.819_OOMP2_black_C_O4....	Sequence.coverage.819_OOMP2_black_C_O5....	Sequence.coverage.819_OOMP2_blue_1_only5....	Intensity	Intensity.621_1O2	Intensity.621_1O3	Intensity.621_1O4	Intensity.621_C3	Intensity.815_03_O1	Intensity.815_03_O2	Intensity.815_03_O5	Intensity.815_1_O6	Intensity.815_C_O4	Intensity.815_C_O5	Intensity.819_OOMP2_black_3_O4	Intensity.819_OOMP2_black_3_O5	Intensity.819_OOMP2_black_C_O4	Intensity.819_OOMP2_black_C_O5	Intensity.819_OOMP2_blue_1_only5	LFQ.intensity.621_1O2	LFQ.intensity.621_1O3	LFQ.intensity.621_1O4	LFQ.intensity.621_C3	LFQ.intensity.815_03_O1	LFQ.intensity.815_03_O2	LFQ.intensity.815_03_O5	LFQ.intensity.815_1_O6	LFQ.intensity.815_C_O4	LFQ.intensity.815_C_O5	LFQ.intensity.819_OOMP2_black_3_O4	LFQ.intensity.819_OOMP2_black_3_O5	LFQ.intensity.819_OOMP2_black_C_O4	LFQ.intensity.819_OOMP2_black_C_O5	LFQ.intensity.819_OOMP2_blue_1_only5	MS.MS.count.621_1O2	MS.MS.count.621_1O3	MS.MS.count.621_1O4	MS.MS.count.621_C3	MS.MS.count.815_03_O1	MS.MS.count.815_03_O2	MS.MS.count.815_03_O5	MS.MS.count.815_1_O6	MS.MS.count.815_C_O4	MS.MS.count.815_C_O5	MS.MS.count.819_OOMP2_black_3_O4	MS.MS.count.819_OOMP2_black_3_O5	MS.MS.count.819_OOMP2_black_C_O4	MS.MS.count.819_OOMP2_black_C_O5	MS.MS.count.819_OOMP2_blue_1_only5	MS.MS.count	Only.identified.by.site	Reverse	Potential.contaminant	id	Peptide.IDs	Peptide.is.razor	Mod..peptide.IDs	Evidence.IDs	MS.MS.IDs	Best.MS.MS	Oxidation..M..site.IDs	Oxidation..M..site.positions
Q3T0T5;A0A059NZ16;A0A452DJ94	Q3T0T5;A0A059NZ16;A0A452DJ94	4;4;4	4;4;4	4;4;4	sp|Q3T0T5|JUPI1_BOVIN Jupiter microtubule associated homolog 1 OS=Bos taurus OX=9913 GN=JPT1 PE=2 SV=3;tr|A0A059NZ16|A0A059NZ16_BOVIN HN1 OS=Bos taurus OX=9913 PE=2 SV=1;tr|A0A452DJ94|A0A452DJ94_BOVIN Jupiter microtubule-associated homolog 1 OS=Bos taurus 	3	4	4	4	3	4	4	3	4	3	4	3	4	4	4	3	3	2	3	3	4	4	3	4	3	4	3	4	4	4	3	3	2	3	3	4	4	3	4	3	4	3	4	4	4	3	3	2	3	39.6	39.6	39.6	16.01	154	154;154;166	0	128.73	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	39.6	39.6	39.6	23.4	39.6	27.9	39.6	23.4	39.6	39.6	39.6	39.6	39.6	27.9	39.6	1288800000	94551000	214000000	83906000	79708000	103540000	62346000	46453000	71154000	165210000	55840000	29936000	89144000	73992000	44099000	74879000	90699000	78634000	101040000	90016000	87873000	96529000	50580000	142260000	103330000	118900000	38861000	58432000	59931000	82276000	76795000	5	7	6	5	4	4	3	3	6	4	4	4	4	0	6	65				0	9735;14871;14872;15874	True;True;True;True	9869;15146;15147;16167	77412;77413;77414;77415;77416;77417;77418;77419;77420;77421;77422;77423;77424;77425;77426;77427;77428;77429;118014;118015;118016;118017;118018;118019;118020;118021;118022;118023;118024;118025;118026;118027;118028;118029;118030;118031;118032;118033;118034;118035;118036;118037;118038;118039;118040;118041;127065;127066;127067;127068;127069;127070;127071;127072;127073;127074;127075;127076;127077;127078;127079;127080;127081;127082	79364;79365;79366;79367;79368;79369;79370;79371;79372;79373;79374;79375;79376;79377;79378;79379;79380;120657;120658;120659;120660;120661;120662;120663;120664;120665;120666;120667;120668;120669;120670;120671;120672;120673;120674;120675;120676;120677;120678;120679;120680;120681;120682;120683;120684;120685;120686;120687;130185;130186;130187;130188;130189;130190;130191;130192;130193;130194;130195;130196;130197;130198;130199;130200;130201;130202;130203;130204;130205;130206;130207	79365;120657;120669;130186		
Q9GLL6;B5AAU9;A0A3Q1LLH6;A0A3Q1LWI7;A0A3Q1N661;Q52NK2;Q9MYK6;P15696;A0A068JFZ9;Q8MJ29;Q0PW27;P56831;P56830;B5AAU8;B5AAU7;B5AAU5;B5AAU4;A0A068JLG7;A0A068JG78;Q0PW28	Q9GLL6;B5AAU9;A0A3Q1LLH6;A0A3Q1LWI7;A0A3Q1N661;Q52NK2;Q9MYK6;P15696;A0A068JFZ9;Q8MJ29;Q0PW27;P56831;P56830;B5AAU8;B5AAU7;B5AAU5;B5AAU4;A0A068JLG7;A0A068JG78;Q0PW28	3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2	3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2	3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2	tr|Q9GLL6|Q9GLL6_BOVIN Interferon tau OS=Bos taurus OX=9913 GN=IFN-tau-c3 PE=3 SV=1;tr|B5AAU9|B5AAU9_BOVIN Interferon-tau variant 3f (Fragment) OS=Bos taurus OX=9913 GN=IFNT PE=2 SV=1;tr|A0A3Q1LLH6|A0A3Q1LLH6_BOVIN Interferon tau-2 OS=Bos taurus OX=9913 GN	20	3	3	3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	11.3	11.3	11.3	22.16	195	195;172;195;195;195;195;195;195;172;172;172;172;172;172;172;172;172;172;172;172	0	3.4743			By MS/MS			By MS/MS										0	0	5.6	0	0	5.6	0	0	0	0	0	0	0	0	0	31569000	0	0	22066000	0	0	9503100	0	0	0	0	0	0	0	0	0	0	0	35584000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	4				2	1191;1192;9292	True;True;True	1203;1204;9421	8750;8751;8752;73358	9243;9244;9245;75010	9243;9244;75010		
Q27983;A2I7N1;A0A3Q1N535;G8JKW7;Q28921;Q9TTE1;CON__Q9TTE1;CON__A2I7N1;A0A452DJK6;A2I7M9;A0A0A0MP88;A2I7N0;A0A3Q1MGP2;Q5J801;Q3SZQ8;CON__REFSEQ:XP_001252647;A0A0A0MPA0;A0A0A0MP92;Q27984;A0A3Q1MGZ6;Q32T06;A2I7N2;G3N1U4;Q3ZEJ6;A0A452DJA9;CON__A2I7N0;A2I7N3;CON__A2I7N3	Q27983;A2I7N1;A0A3Q1N535;G8JKW7;Q28921;Q9TTE1;CON__Q9TTE1;CON__A2I7N1;A0A452DJK6;A2I7M9;A0A0A0MP88;A2I7N0;A0A3Q1MGP2;Q5J801;Q3SZQ8;CON__REFSEQ:XP_001252647;A0A0A0MPA0;A0A0A0MP92;Q27984;A0A3Q1MGZ6;Q32T06;A2I7N2;G3N1U4;Q3ZEJ6;A0A452DJA9;CON__A2I7N0	3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1	3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1	3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1	tr|Q27983|Q27983_BOVIN Alpha1-antichymotrypsin isoform pHHK11 (Fragment) OS=Bos taurus OX=9913 PE=2 SV=1;sp|A2I7N1|SPA35_BOVIN Serpin A3-5 OS=Bos taurus OX=9913 GN=SERPINA3-5 PE=3 SV=1;tr|A0A3Q1N535|A0A3Q1N535_BOVIN Serpin A3-1 OS=Bos taurus OX=9913 GN=SER	28	3	3	3	2	2	2	1	1	0	0	1	1	2	1	0	1	1	0	2	2	2	1	1	0	0	1	1	2	1	0	1	1	0	2	2	2	1	1	0	0	1	1	2	1	0	1	1	0	12.3	12.3	12.3	22.711	203	203;411;459;415;252;411;411;411;470;411;400;411;390;417;417;417;417;417;416;397;414;414;411;411;400;411;417;417	0	3.1076	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching			By MS/MS	By MS/MS	By MS/MS	By MS/MS		By matching	By matching		8.4	8.4	7.9	3.9	3.9	0	0	3.9	3.9	8.4	4.4	0	3.9	3.9	0	143450000	7815300	36346000	11514000	8812800	15575000	0	0	0	32101000	21743000	4192800	0	3583000	1766200	0	0	17865000	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	0	0	0	1	1	1	1	0	0	0	0	11			+	4	9431;12027;16598	True;True;True	9561;12247;16904	74484;74485;74486;74487;74488;74489;74490;74491;96033;96034;96035;96036;133129;133130;133131;133132	76257;76258;76259;98049;98050;98051;98052;136423;136424;136425;136426	76259;98050;136425		
A0A0A0MPA4;Q56JX5;A0A3Q1MTI8;A0A3Q1MT40	A0A0A0MPA4;Q56JX5;A0A3Q1MTI8	4;4;3;1	4;4;3;1	4;4;3;1	tr|A0A0A0MPA4|A0A0A0MPA4_BOVIN 40S ribosomal protein S25 OS=Bos taurus OX=9913 PE=3 SV=2;sp|Q56JX5|RS25_BOVIN 40S ribosomal protein S25 OS=Bos taurus OX=9913 GN=RPS25 PE=2 SV=1;tr|A0A3Q1MTI8|A0A3Q1MTI8_BOVIN 40S ribosomal protein S25 OS=Bos taurus OX=9913 	4	4	4	4	0	0	0	0	0	0	0	0	1	0	0	2	2	4	1	0	0	0	0	0	0	0	0	1	0	0	2	2	4	1	0	0	0	0	0	0	0	0	1	0	0	2	2	4	1	24.4	24.4	24.4	13.481	123	123;125;124;93	0	4.3621									By MS/MS			By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	8.1	0	0	8.9	15.4	24.4	7.3	46691000	0	0	0	0	0	0	0	0	14755000	0	0	0	17566000	14370000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24572000	0	0	0	0	0	0	0	0	0	1	0	0	2	2	4	1	10				5	150;2552;8524;8948	True;True;True;True	150;2590;8642;9074	950;19290;19291;66939;66940;66941;70932;70933;70934;70935	956;20097;20098;68583;68584;68585;72719;72720;72721;72722	956;20098;68584;72721		
A0A3Q1MHV6;A0A3Q1MGT0;A0A3Q1M2B2;Q2UVX4;A0A0F6QNP7;CON__Q2UVX4;Q693V9;O97941	A0A3Q1MHV6;A0A3Q1MGT0;A0A3Q1M2B2;Q2UVX4;A0A0F6QNP7;CON__Q2UVX4;Q693V9	21;21;21;21;21;20;16;2	21;21;21;21;21;20;16;2	21;21;21;21;21;20;16;2	tr|A0A3Q1MHV6|A0A3Q1MHV6_BOVIN Complement C3 OS=Bos taurus OX=9913 GN=C3 PE=1 SV=1;tr|A0A3Q1MGT0|A0A3Q1MGT0_BOVIN Complement C3 OS=Bos taurus OX=9913 GN=C3 PE=1 SV=1;tr|A0A3Q1M2B2|A0A3Q1M2B2_BOVIN Complement C3 OS=Bos taurus OX=9913 GN=C3 PE=1 SV=1;sp|Q2UV	8	21	21	21	13	13	4	10	13	3	12	7	6	10	6	5	9	9	4	13	13	4	10	13	3	12	7	6	10	6	5	9	9	4	13	13	4	10	13	3	12	7	6	10	6	5	9	9	4	11.9	11.9	11.9	180.31	1601	1601;1610;1630;1661;1661;1662;303;148	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.2	5.1	4.2	5.3	8.4	2.7	7.2	3.9	3.2	4	4	3.3	6.6	3.9	3.2	2901900000	459720000	742010000	32698000	164310000	492490000	11817000	185100000	154620000	71431000	195810000	98167000	62714000	98315000	106000000	26659000	419210000	415900000	61440000	143500000	454850000	38648000	221400000	192820000	82241000	232920000	182380000	65051000	103970000	130310000	26926000	25	17	5	13	22	1	16	11	8	11	9	8	12	11	2	171			+	6	540;541;588;2494;2905;3091;5494;5495;6500;6501;7188;7315;7316;9662;10920;11332;11489;12216;12217;12889;17115	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	541;542;590;2532;2949;3137;5559;5560;6589;6590;7291;7419;7420;9792;11123;11541;11701;12438;12439;13138;17424	4136;4137;4442;4443;4444;4445;4446;4447;4448;4449;4450;4451;4452;4453;4454;4455;4456;4457;4458;4459;4460;4461;4462;4463;18984;18985;22812;22813;22814;22815;22816;24483;24484;24485;24486;24487;24488;24489;42018;42019;42020;42021;42022;42023;42024;42025;42026;42027;42028;42029;42030;42031;42032;42033;42034;42035;42036;42037;42038;50479;50480;50481;50482;50483;50484;50485;50486;50487;50488;50489;50490;50491;50492;50493;50494;50495;50496;50497;50498;50499;50500;50501;50502;50503;50504;50505;50506;50507;50508;50509;50510;50511;55322;55323;55324;55325;55326;55327;55328;55329;55330;55331;55332;55333;55334;55335;55336;55337;55338;55339;55340;55341;56079;56080;56081;56082;56083;56084;56085;56086;56087;56088;56089;56090;56091;56092;56093;56094;56095;76795;76796;86648;89790;89791;89792;89793;89794;89795;89796;89797;91108;91109;91110;91111;91112;91113;97318;97319;97320;97321;97322;97323;97324;97325;97326;97327;97328;97329;97330;97331;97332;97333;97334;97335;97336;97337;97338;97339;97340;97341;97342;97343;97344;97345;97346;97347;97348;97349;97350;97351;97352;102493;137101	4349;4350;4654;4655;4656;4657;4658;4659;4660;4661;4662;4663;4664;4665;4666;4667;4668;4669;4670;4671;4672;4673;4674;4675;4676;4677;19789;19790;19791;23372;23373;23374;23375;25132;25133;25134;25135;25136;25137;42847;42848;42849;42850;42851;42852;42853;42854;42855;42856;42857;42858;42859;42860;42861;42862;42863;42864;42865;42866;42867;42868;42869;42870;42871;42872;42873;51792;51793;51794;51795;51796;51797;51798;51799;51800;51801;51802;51803;51804;51805;51806;51807;51808;51809;51810;51811;51812;51813;51814;51815;51816;51817;51818;51819;51820;51821;51822;51823;51824;56476;56477;56478;56479;56480;56481;56482;56483;56484;56485;56486;56487;56488;56489;56490;56491;56492;56493;56494;57208;57209;57210;57211;57212;57213;57214;57215;57216;57217;57218;57219;57220;57221;57222;57223;57224;78786;78787;88658;91939;91940;91941;91942;91943;91944;93345;93346;93347;93348;93349;93350;93351;99351;99352;99353;99354;99355;99356;99357;99358;99359;99360;99361;99362;99363;99364;99365;99366;99367;99368;99369;99370;99371;99372;99373;99374;99375;99376;99377;99378;99379;99380;99381;99382;104669;140812;140813;140814	4349;4350;4659;19790;23372;25136;42850;42873;51793;51807;56479;57209;57223;78786;88658;91940;93347;99362;99369;104669;140813		
P80177;A0A0F7RPX0;A0A3Q1MT60;Q6PVY3	P80177;A0A0F7RPX0;A0A3Q1MT60;Q6PVY3	8;8;7;5	8;8;7;5	8;8;7;5	sp|P80177|MIF_BOVIN Macrophage migration inhibitory factor OS=Bos taurus OX=9913 GN=MIF PE=1 SV=6;tr|A0A0F7RPX0|A0A0F7RPX0_BOVIN Macrophage migration inhibitory factor OS=Bos taurus OX=9913 GN=MIF PE=3 SV=1;tr|A0A3Q1MT60|A0A3Q1MT60_BOVIN Macrophage migrati	4	8	8	8	3	6	4	4	5	5	2	3	5	4	4	3	3	3	4	3	6	4	4	5	5	2	3	5	4	4	3	3	3	4	3	6	4	4	5	5	2	3	5	4	4	3	3	3	4	52.2	52.2	52.2	12.343	115	115;115;228;100	0	148.86	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	19.1	23.5	22.6	22.6	28.7	29.6	17.4	22.6	22.6	22.6	20	19.1	19.1	19.1	41.7	8084700000	256740000	1961900000	168560000	279560000	786000000	1719100000	123730000	60742000	478340000	273250000	300100000	582610000	567240000	85213000	441550000	199600000	1041300000	176650000	190310000	870670000	1232200000	238290000	0	474440000	558700000	426440000	405190000	529460000	163240000	449150000	5	23	13	7	15	56	2	3	7	7	7	7	7	3	11	173				7	6181;6850;8656;8657;10214;11187;13943;13944	True;True;True;True;True;True;True;True	6264;6948;8775;8776;10384;11394;11395;14200;14201	47991;47992;47993;47994;47995;47996;53036;68576;68577;68578;68579;68580;68581;68582;68583;68584;68585;68586;68587;68588;68589;68590;68591;68592;68593;68594;68595;68596;68597;68598;68599;68600;68601;68602;68603;68604;68605;68606;68607;68608;68609;68610;68611;68612;68613;68614;68615;68616;68617;68618;68619;68620;68621;68622;68623;68624;68625;68626;68627;68628;68629;68630;68631;68632;68633;68634;68635;68636;68637;68638;68639;68640;68641;68642;68643;68644;68645;68646;68647;68648;68649;68650;68651;68652;68653;68654;68655;68656;81170;81171;81172;88545;88546;88547;88548;88549;88550;88551;88552;88553;88554;88555;88556;88557;88558;88559;88560;88561;88562;88563;88564;88565;88566;88567;88568;88569;88570;88571;88572;88573;88574;88575;88576;88577;88578;88579;88580;88581;88582;88583;88584;88585;88586;88587;88588;88589;88590;88591;110980;110981;110982;110983;110984;110985;110986;110987;110988;110989	49267;49268;49269;49270;49271;49272;54259;70386;70387;70388;70389;70390;70391;70392;70393;70394;70395;70396;70397;70398;70399;70400;70401;70402;70403;70404;70405;70406;70407;70408;70409;70410;70411;70412;70413;70414;70415;70416;70417;70418;70419;70420;70421;70422;70423;70424;70425;70426;70427;70428;70429;70430;70431;70432;70433;70434;70435;70436;70437;70438;70439;70440;70441;70442;70443;70444;70445;70446;70447;70448;70449;70450;70451;70452;70453;70454;70455;70456;70457;70458;70459;70460;70461;70462;70463;70464;70465;70466;70467;70468;70469;70470;70471;70472;70473;70474;70475;70476;70477;70478;70479;70480;70481;82995;82996;90563;90564;90565;90566;90567;90568;90569;90570;90571;90572;90573;90574;90575;90576;90577;90578;90579;90580;90581;90582;90583;90584;90585;90586;90587;90588;90589;90590;90591;90592;90593;90594;90595;90596;90597;90598;90599;90600;90601;90602;90603;90604;90605;90606;90607;90608;90609;90610;90611;90612;90613;90614;90615;90616;90617;90618;90619;90620;113284;113285;113286;113287;113288;113289;113290;113291;113292;113293;113294;113295;113296	49268;54259;70399;70452;82995;90579;113285;113290	0	3
P13909;A0A0M5L1T6;A0A452DIJ9	P13909;A0A0M5L1T6;A0A452DIJ9	4;4;4	4;4;4	4;4;4	sp|P13909|PAI1_BOVIN Plasminogen activator inhibitor 1 OS=Bos taurus OX=9913 GN=SERPINE1 PE=1 SV=1;tr|A0A0M5L1T6|A0A0M5L1T6_BOVIN Clade E serpine peptidase inhibitor OS=Bos taurus OX=9913 GN=SERPINE1 PE=2 SV=1;tr|A0A452DIJ9|A0A452DIJ9_BOVIN Plasminogen act	3	4	4	4	1	1	0	1	2	0	0	0	0	0	0	0	0	1	0	1	1	0	1	2	0	0	0	0	0	0	0	0	1	0	1	1	0	1	2	0	0	0	0	0	0	0	0	1	0	11.9	11.9	11.9	45.371	402	402;402;616	0	16.898	By MS/MS	By MS/MS		By MS/MS	By MS/MS									By MS/MS		2	4.2	0	2	5.7	0	0	0	0	0	0	0	0	4.2	0	25642000	5378400	13632000	0	6631400	0	0	0	0	0	0	0	0	0	0	0	0	6700600	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	1	0	6				8	5087;5764;9721;15415	True;True;True;True	5149;5833;9855;15702	39253;39254;44577;77285;77286;123108	40117;40118;45746;79253;79254;126042	40117;45746;79253;126042		
A0A140T832;A5PK63	A0A140T832;A5PK63	4;3	4;3	4;3	tr|A0A140T832|A0A140T832_BOVIN 40S ribosomal protein S17 OS=Bos taurus OX=9913 GN=RPS17 PE=3 SV=2;sp|A5PK63|RS17_BOVIN 40S ribosomal protein S17 OS=Bos taurus OX=9913 GN=RPS17 PE=2 SV=1	2	4	4	4	0	2	1	0	1	2	0	0	1	0	1	1	1	1	1	0	2	1	0	1	2	0	0	1	0	1	1	1	1	1	0	2	1	0	1	2	0	0	1	0	1	1	1	1	1	34.1	34.1	34.1	23.153	205	205;135	0	113.6		By MS/MS	By MS/MS		By MS/MS	By MS/MS			By matching		By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	16.6	12.2	0	12.7	17.1	0	0	12.2	0	12.2	12.2	12.2	12.2	12.2	341950000	0	55900000	27832000	0	50699000	73844000	0	0	22459000	0	27531000	36058000	32093000	15532000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26560000	0	0	3	1	0	1	2	0	0	0	0	1	3	1	2	1	15				10	2725;8328;8664;15606	True;True;True;True	2768;8445;8783;15895	20779;65559;68698;68699;68700;68701;68702;68703;68704;68705;68706;68707;124948	21665;67045;70520;70521;70522;70523;70524;70525;70526;70527;70528;70529;70530;70531;127986	21665;67045;70522;127986		
P56560;A0A140T837;P21398;A5D9C1	P56560;A0A140T837;P21398;A5D9C1	2;2;2;2	2;2;2;2	2;2;2;2	sp|P56560|AOFB_BOVIN Amine oxidase [flavin-containing] B OS=Bos taurus OX=9913 GN=MAOB PE=1 SV=4;tr|A0A140T837|A0A140T837_BOVIN Amine oxidase OS=Bos taurus OX=9913 GN=MAOB PE=3 SV=1;sp|P21398|AOFA_BOVIN Amine oxidase [flavin-containing] A OS=Bos taurus OX=	4	2	2	2	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	2.3	2.3	2.3	58.42	520	520;520;527;527	0	4.3293	By MS/MS	By MS/MS		By MS/MS	By matching											2.1	2.3	0	2.1	2.1	0	0	0	0	0	0	0	0	0	0	21364000	5559700	13576000	0	0	2228500	0	0	0	0	0	0	0	0	0	0	0	6672700	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	5				11	4361;7245	True;True	4416;7348	33779;33780;33781;33782;55662	34558;34559;34560;56809;56810	34559;56810		
A0A140T842;Q59HJ6;A0A3Q1LU64	A0A140T842;Q59HJ6;A0A3Q1LU64	12;12;8	12;12;8	12;12;8	tr|A0A140T842|A0A140T842_BOVIN Lon protease homolog, mitochondrial OS=Bos taurus OX=9913 GN=LONP1 PE=3 SV=2;sp|Q59HJ6|LONM_BOVIN Lon protease homolog, mitochondrial OS=Bos taurus OX=9913 GN=LONP1 PE=1 SV=1;tr|A0A3Q1LU64|A0A3Q1LU64_BOVIN Lon protease homolo	3	12	12	12	1	6	1	4	3	0	0	0	1	0	2	3	6	5	2	1	6	1	4	3	0	0	0	1	0	2	3	6	5	2	1	6	1	4	3	0	0	0	1	0	2	3	6	5	2	13.6	13.6	13.6	113.92	1027	1027;961;951	0	26.391	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS				By MS/MS		By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	1	8.7	0.7	4.2	3.3	0	0	0	1	0	2.5	2.2	6.3	5.6	2.2	218750000	12367000	69858000	6680500	23234000	20826000	0	0	0	0	0	12981000	27054000	25307000	12496000	7951100	0	0	0	24400000	0	0	0	0	0	0	0	16605000	17934000	21737000	19580000	3	6	1	6	3	0	0	0	1	0	1	1	5	5	2	34				12	967;968;1386;4317;5815;5879;7868;8320;9852;11545;15081;16913	True;True;True;True;True;True;True;True;True;True;True;True	976;977;1404;4372;5890;5954;7978;8437;9998;11757;15364;17219	7279;7280;10083;33526;33527;33528;33529;45298;45299;45300;45301;45302;45303;45304;45704;45705;45706;45707;45708;60643;60644;60645;60646;65538;65539;78197;78198;78199;91393;120655;135408;135409;135410;135411;135412;135413	7630;7631;10555;34337;34338;46526;46527;46528;46529;46530;46531;46532;46533;46534;46940;46941;46942;46943;46944;61905;61906;61907;61908;67024;67025;80155;80156;80157;80158;93625;123516;138783;138784;138785;138786	7630;7631;10555;34337;46528;46940;61907;67024;80156;93625;123516;138783		
