Protein IDs,Majority protein IDs,Peptide counts (unique),Fasta headers,Mol. weight [kDa],Intensity,B1.1_1,B1.1_2,B1.1_3,CT_1,B0.3_1,B0.3_2,B0.3_3,B1.1_4,CT_2,CT_3,B0.3_4,B0.3_5,CT_4,CT_5,B1.1_5
A0A3Q1MU98;Q3MHN2;CON__Q3MHN2,A0A3Q1MU98;Q3MHN2;CON__Q3MHN2,16;16;16,tr|A0A3Q1MU98|A0A3Q1MU98_BOVIN Complement component C9 OS=Bos taurus OX=9913 GN=C9 PE=1 SV=1;sp|Q3MHN2|CO9_BOVIN Complement component C9 OS=Bos taurus OX=9913 GN=C9 PE=2 SV=1;,57.4,951130000,484870000,42149000,50697000,0,104720000,42760000,125640000,239920000,0,0,24580000,0,0,0,0
A0A3Q1LK49;CON__Q9TRI1;A5D7R6,A0A3Q1LK49;CON__Q9TRI1;A5D7R6,8;8;8,tr|A0A3Q1LK49|A0A3Q1LK49_BOVIN Inter-alpha-trypsin inhibitor heavy chain H2 OS=Bos taurus OX=9913 GN=ITIH2 PE=1 SV=1;;tr|A5D7R6|A5D7R6_BOVIN ITIH2 protein OS=Bos taurus OX=9913 GN=ITIH2 PE=1 SV=1,96.774,1019200000,234490000,0,1041500000,0,0,0,0,0,0,0,0,0,0,0,0
Q56K14;E1BCL5,Q56K14,4;1,sp|Q56K14|RLA1_BOVIN 60S acidic ribosomal protein P1 OS=Bos taurus OX=9913 GN=RPLP1 PE=3 SV=1,11.514,5977000000,203380000,0,158960000,0,740030000,704090000,282530000,317030000,396340000,295570000,915230000,649780000,749300000,666070000,1091800000
A0A3Q1LVM5;A0A3Q1LW96;Q0VCM5;CON__Q0VCM5,A0A3Q1LVM5;A0A3Q1LW96;Q0VCM5;CON__Q0VCM5,6;6;6;6,tr|A0A3Q1LVM5|A0A3Q1LVM5_BOVIN Inter-alpha-trypsin inhibitor heavy chain H1 OS=Bos taurus OX=9913 GN=ITIH1 PE=1 SV=1;tr|A0A3Q1LW96|A0A3Q1LW96_BOVIN Inter-alpha-trypsin inhibitor heavy chain H1 OS=Bos taurus OX=9913 GN=ITIH1 PE=1 SV=1;sp|Q0VCM5|ITIH1_BOVIN ,100.46,622660000,203110000,0,644670000,0,0,0,0,0,0,0,0,0,0,0,0
Q3SZC0;A0A3Q1M4Z0;A0A3Q1MJM9,Q3SZC0;A0A3Q1M4Z0;A0A3Q1MJM9,6;3;3,sp|Q3SZC0|ERH_BOVIN Enhancer of rudimentary homolog OS=Bos taurus OX=9913 GN=ERH PE=3 SV=1;tr|A0A3Q1M4Z0|A0A3Q1M4Z0_BOVIN Enhancer of rudimentary homolog OS=Bos taurus OX=9913 PE=3 SV=1;tr|A0A3Q1MJM9|A0A3Q1MJM9_BOVIN Enhancer of rudimentary homolog OS=Bos ,12.259,1519300000,121810000,154080000,48068000,0,106670000,345550000,65227000,49370000,79502000,46564000,80985000,72485000,84677000,59118000,119040000
Q32L35;A0A452DJA4;A0A3Q1LN56,Q32L35;A0A452DJA4;A0A3Q1LN56,4;4;4,sp|Q32L35|MIC25_BOVIN MICOS complex subunit MIC25 OS=Bos taurus OX=9913 GN=CHCHD6 PE=2 SV=1;tr|A0A452DJA4|A0A452DJA4_BOVIN MICOS complex subunit MIC25 OS=Bos taurus OX=9913 GN=CHCHD6 PE=4 SV=1;tr|A0A3Q1LN56|A0A3Q1LN56_BOVIN MICOS complex subunit MIC25 OS=B,26.439,146220000,116450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P48427,P48427,8,sp|P48427|TBCA_BOVIN Tubulin-specific chaperone A OS=Bos taurus OX=9913 GN=TBCA PE=1 SV=3,12.707,935850000,112130000,85658000,262920000,0,51718000,0,80557000,22382000,40679000,101420000,46576000,58642000,44459000,27021000,68039000
Q862Q3;P01888;A0A3Q1MU93;Q6VUQ8;Q862T6,Q862Q3;P01888;A0A3Q1MU93,3;3;3;1;1,tr|Q862Q3|Q862Q3_BOVIN Beta-2-microglobulin (Fragment) OS=Bos taurus OX=9913 PE=2 SV=1;sp|P01888|B2MG_BOVIN Beta-2-microglobulin OS=Bos taurus OX=9913 GN=B2M PE=1 SV=2;tr|A0A3Q1MU93|A0A3Q1MU93_BOVIN Beta-2-microglobulin OS=Bos taurus OX=9913 PE=3 SV=1,11.043,381520000,86726000,52225000,0,0,0,0,0,0,0,0,20067000,31706000,31405000,14954000,38429000
Q148C9;A0A3Q1MAC3;G5E6G2,Q148C9;A0A3Q1MAC3;G5E6G2,12;7;6,sp|Q148C9|HEBP1_BOVIN Heme-binding protein 1 OS=Bos taurus OX=9913 GN=HEBP1 PE=2 SV=1;tr|A0A3Q1MAC3|A0A3Q1MAC3_BOVIN Uncharacterized protein OS=Bos taurus OX=9913 PE=3 SV=1;tr|G5E6G2|G5E6G2_BOVIN Uncharacterized protein OS=Bos taurus OX=9913 PE=3 SV=2,21.23,1236800000,86564000,135370000,0,0,93800000,71052000,58189000,0,72873000,0,119730000,122080000,112680000,129410000,119450000
A0A3Q1LFZ6;A0A3Q1M5C0,A0A3Q1LFZ6;A0A3Q1M5C0,3;0,tr|A0A3Q1LFZ6|A0A3Q1LFZ6_BOVIN Tropomyosin alpha-1 chain OS=Bos taurus OX=9913 GN=TPM1 PE=1 SV=1;tr|A0A3Q1M5C0|A0A3Q1M5C0_BOVIN Tropomyosin alpha-1 chain OS=Bos taurus OX=9913 GN=TPM1 PE=1 SV=1,49.15,342350000,85240000,0,0,0,0,0,0,0,0,0,0,0,213980000,0,0
A1A4Q4;A0A452DJ25,A1A4Q4;A0A452DJ25,4;4,sp|A1A4Q4|TMA7_BOVIN Translation machinery-associated protein 7 OS=Bos taurus OX=9913 GN=TMA7 PE=3 SV=1;tr|A0A452DJ25|A0A452DJ25_BOVIN Coiled-coil domain-containing protein 72 OS=Bos taurus OX=9913 GN=LOC112446645 PE=3 SV=1,7.0662,463570000,80104000,29605000,0,0,0,0,0,0,0,0,51454000,49424000,43031000,45348000,84497000
Q3T0E0,Q3T0E0,11,sp|Q3T0E0|ATOX1_BOVIN Copper transport protein ATOX1 OS=Bos taurus OX=9913 GN=ATOX1 PE=3 SV=1,7.3654,1396300000,75843000,157880000,104780000,0,89237000,139750000,61374000,0,114100000,60070000,71537000,133960000,78246000,49197000,94188000
P80311;Q862P3;Q862J7;Q08E11,P80311,17;6;6;2,sp|P80311|PPIB_BOVIN Peptidyl-prolyl cis-trans isomerase B OS=Bos taurus OX=9913 GN=PPIB PE=1 SV=4,23.743,935660000,71310000,79391000,0,0,123140000,0,0,0,81723000,47146000,49597000,139850000,64893000,43190000,79325000
Q3T0L2;A0A3Q1M5Q1,Q3T0L2;A0A3Q1M5Q1,19;17,sp|Q3T0L2|ERP44_BOVIN Endoplasmic reticulum resident protein 44 OS=Bos taurus OX=9913 GN=ERP44 PE=2 SV=1;tr|A0A3Q1M5Q1|A0A3Q1M5Q1_BOVIN Endoplasmic reticulum resident protein 44 OS=Bos taurus OX=9913 GN=ERP44 PE=1 SV=1,46.836,741280000,67649000,141710000,0,0,90176000,27976000,26862000,0,0,0,39229000,45369000,49569000,34748000,35520000
